# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
deletion mutation phenotypic evidence	ECO:0001038	A type of mutant phenotype evidence resulting from a mutation in which there is the removal of one or more contiguous nucleotides that may result in altered function or other measurable properties.	deletion mutation evidence
DNA laddering assay evidence	ECO:0001039	A type of apoptotic assay evidence resulting from the visualization via gel electrophoresis of the fragmented DNA (DNA ladder) which is the result of apoptotic DNA fragmentation.	
RNA dot blot assay evidence	ECO:0001040	A type of RNA detection assay evidence based on the direct application of a RNA mixture in a circular motion on a matrix for hybridization with labeled DNA fragments.	RNA dot blot
dominant-negative mutant phenotypic evidence	ECO:0001042	A type of mutant phenotype evidence resulting from a mutated gene producing mutant polypeptides that disrupt the activity of the wild-type genes.	dominant-negative mutant evidence
Edman degradation evidence used in manual assertion	ECO:0001043	A type of Edman degradation evidence that is used in a manual assertion.	
Edman degradation evidence	ECO:0001044	A type of protein detection assay evidence resulting from labeling a termonal amino acid residue and cleaving it from a peptide by sequentially removing one residue at a time from the amino end of the peptide, without disrupting the bonds.	
eTag assay evidence	ECO:0001045	A type of affinity evidence resulting from the quantitative analysis of gene and protein expression monitored by proprietary eTag reporters.	
filter binding assay evidence	ECO:0001046	A type of physical interaction evidence resulting from a mixture of two molecules passed through a nitrocellulose filter, where one may be immobilized on the filter, and if the immobilized molecule is capable of binding to the other, it will be retained on the filter as well.	
fluorescence in situ hybridization evidence	ECO:0001047	A type of nucleic acid localization evidence and in situ hybridization evidence resulting from the use of fluorescent probes to detect complementary sequences of nucleic acids.	
fluorescence resonance energy transfer evidence	ECO:0001048	A type of physical interaction evidence resulting from the measurement of the proximity of two fluorophores, where the energy from an excited molecular fluorophore to another fluorophore can only occur within ~10nm.	FRET
gel-filtration evidence	ECO:0001049	A type of chromatography evidence resulting from the exclusion of proteins based on molecular size by filtration through a porous matrix (swollen gel), from which larger molecules are excluded.	
histochemistry evidence	ECO:0001050	A type of histology evidence resulting from the identification of chemical components in cells and tissues.	
histology evidence	ECO:0001051	A type of imaging assay evidence resulting from the qualitative microscopic examination of cells or tissues.	
high-performance liquid chromatography evidence	ECO:0001052	A type of chromatography evidence resulting from the separation of molecules in a solute by forcing the solvent containing the sample through a column packed with nonporous particles at high pressure.	HPLC evidence
immunocytochemistry evidence	ECO:0001053	A type of protein detection assay evidence resulting from the use of antibodies linked to coloring agents to localize structures in cell cultures to identify proteins.	
immunodepletion evidence	ECO:0001054	A type of immunological assay evidence resulting from the use of antibodies to remove specific proteins from a sample.	
immunohistochemistry evidence	ECO:0001055	A type of protein detection assay evidence resulting from the use of antibodies to detect proteins in localized cells of tissue sections.	
induced mutation evidence	ECO:0001056	A type of genetic transformation evidence resulting from a mutation induced by a mutagenic compounds or irradiation.	
in vitro acetylation assay evidence	ECO:0001057	A type of acetylation assay evidence used in an in vitro experiment.	
in vitro cleavage assay evidence	ECO:0001058	A type of cleavage assay evidence used in an in vitro experiment.	
in vitro deubiquitination assay evidence	ECO:0001059	A type of deubiquitination assay evidence used in an in vitro experiment.	
in vitro deacetylation assay evidence	ECO:0001060	A type of deacetylation assay evidence used in an in vitro experiment.	
in vitro defarnesylation assay evidence	ECO:0001061	A type of defarnesylation assay evidence used in an in vitro experiment.	
in vitro demethylation assay evidence	ECO:0001062	A type of demethylation assay evidence used in an in vitro experiment.	
in vitro desumoylation assay evidence	ECO:0001063	A type of desumoylation assay evidence used in an in vitro experiment.	
in vitro farnesylation assay evidence	ECO:0001064	A type of farnesylation assay evidence used in an in vitro experiment.	
in vitro methylation assay evidence	ECO:0001065	A type of methylation assay evidence used in an in vitro experiment.	
in vitro palmitoylation assay evidence	ECO:0001066	A type of palmitoylation assay evidence used in an in vitro experiment.	
in vitro phosphatase assay evidence	ECO:0001067	A type of phosphatase assay evidence used in an in vitro experiment.	
in vitro protein kinase assay evidence	ECO:0001068	A type of protein kinase assay evidence used in an in vitro experiment.	
in vitro polyADP-ribosylation assay evidence	ECO:0001069	A type of polyADP-ribosylation assay evidence used in an in vitro experiment.	
in vitro sumoylation assay evidence	ECO:0001070	A type of sumoylation assay evidence used in an in vitro experiment.	
in vitro transcription assay evidence	ECO:0001071	A type of transcription assay evidence used in an in vitro experiment.	
in vitro translation assay evidence	ECO:0001072	A type of translation assay evidence used in an in vitro experiment.	
in vitro ubiquitination assay evidence	ECO:0001073	A type of ubiquitination assay evidenceused in an in vitro experiment.	
in vivo acetylation assay evidence	ECO:0001074	A type of acetylation assay evidence used in an in vivo experiment.	
in vivo cleavage assay evidence	ECO:0001075	A type of cleavage assay evidence used in an in vivo experiment.	
in vivo deacetylation assay evidence	ECO:0001076	A type of deacetylation assay evidence used in an in vivo experiment.	
in vivo defarnesylation assay evidence	ECO:0001077	A type of defarnesylation assay evidence used in an in vivo experiment.	
in vivo demethylation assay evidence	ECO:0001078	A type of demethylation assay evidence used in an in vivo experiment.	
in vivo deubiquitination assay evidence	ECO:0001079	A type of deubiquitination assay evidence used in an in vivo experiment.	
in vivo desumoylation assay evidence	ECO:0001080	A type of desumoylation assay evidence used in an in vivo experiment.	
in vivo farnesylation assay evidence	ECO:0001081	A type of farnesylation assay evidence used in an in vivo experiment.	
in vivo methylation assay evidence	ECO:0001082	A type of methylation assay evidence used in an in vivo experiment.	
in vivo palmitoylation assay evidence	ECO:0001083	A type of palmitoylation assay evidence used in an in vivo experiment.	
in vivo phosphatase assay evidence	ECO:0001084	A type of phosphatase assay evidence used in an in vivo experiment.	
in vivo protein kinase assay evidence	ECO:0001085	A type of protein kinase assay evidence used in an in vivo experiment.	
in vivo sumoylation assay evidence	ECO:0001086	A type of sumoylation assay evidence used in an in vivo experiment.	
in vivo transcription assay evidence	ECO:0001087	A type of transcription assay evidence used in an in vivo experiment.	
in vivo translation assay evidence	ECO:0001088	A type of translation assay evidence used in an in vivo experiment.	
in vivo ubiquitination assay evidence	ECO:0001089	A type of ubiquitination assay evidence used in an in vivo experiment.	
knockin evidence	ECO:0001090	A type of genetic transformation evidence resulting from the targetted replacement of a wild-type DNA sequence with a different sequence.	
knockout phenotypic evidence	ECO:0001091	A type of genetic transformation evidence resulting from a change in the DNA that results in the elimination of the function of the gene, allowing for functional analysis.	gene deletion evidence|gene knockout evidence|knockout evidence
lipid binding assay evidence	ECO:0001092	A type of physical interaction evidence resulting from the qualitative and quantitative analysis of the affinity with which a protein binds to a lipid.	
luminescence-based mammalian interactome mapping assay evidence	ECO:0001093	A type of physical interaction evidence resulting from the analysis of protein-protein interactions by use of a luciferase enzyme fused to a particular protein (or proteins), which are coexpressed with epitope-tagged partners in mammalian cells.	LUMIER assay
macroscopy evidence	ECO:0001094	A type of experimental evidence that is visible to the naked eye cf. microscopy evidence which requires the aid of a microscope.	
mammalian 2-hybrid assay evidence	ECO:0001095	A type of hybrid interaction evidence resulting from the analysis of proteins of interest attached to two portions of the transcriptional activator, and in interaction bring the two portions together to increase expression of the reporter gene.	
mass spectrometry evidence	ECO:0001096	A type of spectrometry evidence resulting from identifying the amount and type of material entities present in a sample by fragmenting it and measuring the mass-to-charge ratio of the resulting particles.	
medical imaging evidence	ECO:0001097	A type of imaging assay evidence resulting from the use of technology to visualize and provide information about the body to diagnose, treat, or monitor medical conditions.	
microscopy evidence	ECO:0001098	A type of direct assay evidence resulting from the use of a microscope.	
motility wound healing assay evidence	ECO:0001099	A type of cell-based assay evidence to measure cell motility in which a "wound" is created in a cell monolayer and the migration of the cells is captured by imaging at regular intervals during cell migration to close the wound.	wound healing assay evidence
MTS assay evidence	ECO:0001100	A type of apoptotic assay evidence resulting from the reduction of 3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium (MTS) in combination with phenazine methyl sulfate (PMS) as an intermediate electron acceptor reagent to produce a soluble formazan dye in viable cells.	3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium
MTT assay evidence	ECO:0001101	A type of apoptotic assay evidence resulting from the reduction of 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) to its insoluble purple formazan dye in viable cells and measures cell viability / metabolic activity.	3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide
multiplex bead-based immunoassay evidence	ECO:0001102	A type of protein detection assay evidence resulting from determination of analyte concentration by fluorescent bead sets attached to an antibody (to a specific analyte) with a fluorescent reporter dye label attached to a second antibody (to a specific analyte).	
natural variation mutant evidence	ECO:0001103	A type of experimental phenotypic evidence resulting from the observation of the impact of a natural mutation on the expressed traits.	
nuclear fragmentation evidence	ECO:0001104	A type of apoptotic assay evidence resulting from the nuclei fragmenting into smaller pieces during programmed cell death.	
nuclear magnetic resonance spectroscopy evidence	ECO:0001105	A type of structure determination evidence resulting from the use of an MRI to provide chemical information about tissue metabolites.	NMR spectroscopy
nuclease protection assay evidence	ECO:0001106	A type of RNA detection assay evidence resulting from the detection and quantitation of specific RNAs (from a sample of total cellular RNA) that are bound by antisense RNA or DNA probes and therefore protected from nucleases.	
nucleotide analog incorporation assay evidence	ECO:0001107	A type of DNA synthesis cell proliferation assay evidence resulting from the analysis and measurement of the incorporation of fluorescently labeled nucleotide analog(s) into the DNA.	
phage display evidence	ECO:0001108	A type of protein binding evidence resulting from the panning of a phage library where the individual phage displayed a different peptide or protein by fusion to coat proteins on the capsid.	
phosphoamino acid analysis evidence	ECO:0001109	A type of direct assay evidence resulting from the identification of the phosphorylated residue in a protein by amino acid analysis.	
peptide affinity enrichment evidence	ECO:0001110	A type of affinity evidence resulting from the appending of affinity tags on proteins so that they may be purified from their biological source using an affinity technique.	phosphopeptide affinity enrichment evidence
physical examination evidence	ECO:0001111	A type of direct assay evidence resulting from the physical examination and measurement of the feature of a subject or sample.	
peptide array evidence	ECO:0001112	A type of protein binding evidence resulting from protein-bound peptides detected from a collection of peptides arranged as an array and incubated with the partner protein in order to map protein-protein interaction sites.	phosphopeptide array evidence
point mutation phenotypic evidence	ECO:0001113	A type of mutant phenotype evidence resulting from the change in a single nucleotide.	point mutation evidence
propidium iodide staining evidence	ECO:0001114	A type of staining evidence resulting from the binding and labeling of DNA (during apoptosis, when there is a loss of nuclear DNA content) with propidium iodide (PI) to identify the cells from which it originated.	
fluorescence evidence	ECO:0001115	A type of direct assay evidence resulting from the analysis of a molecule by its intrinsic fluorescence, or by attaching it with a fluorophore.	
protein dot blot assay evidence	ECO:0001116	A type of protein detection assay evidence resulting from protein samples immobilized on a membrane, then subsequently incubated and imaged.	
protein microarray evidence	ECO:0001117	A type of protein detection assay evidence resulting from proteins immobilized to prepare protein chips, or microwells, that can be utilized to determine presence of proteins, monitor differential expression profiles, and/or study protein interactions.	
protein sequencing assay evidence	ECO:0001118	A type of sequencing assay evidence resulting from determining the sequence of amino acids in a protein.	
quantitative mass spectrometry evidence	ECO:0001119	A type of mass spectrometry evidence resulting from quantitative analysis of peptides, proteins, and proteomes.	
radioisotope assay evidence	ECO:0001120	A type of direct assay evidence resulting from the assessment of biological reactions by use of a radioactive isotope to label the reactant.	radioassay|radioisotopic assay
radioimmunoassay evidence	ECO:0001121	A type of protein detection assay evidence resulting from the use of a radioligand to measure the binding of a substance to a specific antibody or other receptor system.	
resonant mirror biosensor evidence	ECO:0001123	A type of direct assay evidence from the analysis of the real-time interaction between an analyte in solution and its interactant linked to the surface of the resonant mirror.	
restriction fragment detection evidence	ECO:0001124	A type of DNA detection assay evidence resulting from homologous DNA fragments digested by restriction enzymes, and the resulting restriction fragments are sorted by length to illustrate differences.	
spectrophotometry evidence	ECO:0001126	A type of spectrometry evidence resulting from the evaluation of a molecule in a fluid by its ability to alter the transmission of light at specific wavelengths.	
surface plasmon resonance evidence	ECO:0001127	A type of physical interaction evidence based on real-time, rapid plasmon generation on the interface between a planar surface and vacuum that measures changes in refractive index close to the sensor surface when an analyte and its immobilized ligand bind to observe and characterize molecular interaction.	SPR evidence
syngeneic transplantation experiment evidence	ECO:0001128	A type of experimental phenotypic evidence resulting from a transplantation in which the transplanted material (stem cells) is from an individual's identical twin.	
TACE activity assay evidence	ECO:0001129	A type of enzymatic activity assay evidence resulting from the analysis of tumor necrosis factor (TNF)-a converting enzyme (TACE), which releases a soluble TNF-a from the membrane-bound precursor protein.	Tumor necrosis factor - alpha converting enzyme activity assay
tissue microarray evidence	ECO:0001130	A type of cytochemistry evidence resulting from the analysis of section(s) of a paraffin block containing embedded tissues cores arranged in an array pattern.	
transgenic organism evidence	ECO:0001131	A type of genetic transformation evidence resulting from an organism that has had its expressed phenotype altered by modification.	
tryptic phosphopeptide mapping assay evidence	ECO:0001132	A type of mass spectrometry evidence resulting from the analysis of prepared phosphopeptides separated in two dimensions on a TLC plate.	
terminal deoxynucleotidyl transferase dUTP nick end labeling assay evidence	ECO:0001133	A type of apoptotic assay evidence resulting from the visualization of DNA fragmentation by detection of exposed 3'-OH ends, localized by terminal deoxynucleotidyl transferase (TdT) which then catalyzes the addition of labeled dUTPs.	TdT-mediated dUTP-biotin nick end labeling assay|terminal deoxynucleotidyl transferase-dUTP nick end labeling assay evidence|TUNEL assay evidence
urine test evidence	ECO:0001134	A type of direct assay evidence resulting from the analysis of a urine sample.	
WST-1 assay evidence	ECO:0001136	A type of cell proliferation assay evidence resulting from the assessment of metabolic activity from a water-soluble tetrazolium salt WST-1 being reduced outside the cell (by reacting with mitochondrial succinate-tetrazolium reductase) to form a formazan dye.	metabolic cell proliferation assay evidence
xenotransplantation phenotypic evidence	ECO:0001137	A type of anatomical perturbation phenotypic evidence resulting from the transplantation, implantation, or infusion of live cells, tissues, or organs between individuals of different species.	tissue grafting|Xenograft transplantation|Xenografting|Xenotransplantation|xenotransplantation experiment evidence
3D cell culture evidence used in manual assertion	ECO:0001138	A type of 3D cell culture evidence that is used in a manual assertion.	
51Cr release assay evidence used in manual assertion	ECO:0001139	A type of 51Cr release assay evidence that is used in a manual assertion.	
7-aminoactinomycin staining evidence used in manual assertion	ECO:0001140	A type of 7-aminoactinomycin staining evidence that is used in a manual assertion.	7-AAD staining evidence|7-amino-actinomycin D staining evidence
[3H]-thymidine incorporation assay evidence used in manual assertion	ECO:0001141	A type of [3H]-thymidine incorporation assay evidence that is used in a manual assertion.	
[3H]arachidonic acid release assay evidence used in manual assertion	ECO:0001142	A type of [3H]arachidonic acid release assay evidence that is used in a manual assertion.	
adhesion assay evidence used in manual assertion	ECO:0001143	A type of adhesion assay evidence that is used in a manual assertion.	
adoptive cell transfer evidence used in manual assertion	ECO:0001144	A type of adoptive cell transfer evidence that is used in a manual assertion.	Adoptive immunotherapy|passive immunization
alamarBlue assay evidence used in manual assertion	ECO:0001145	A type of alamarBlue assay evidence that is used in a manual assertion.	
allograft transplantation phenotypic evidence used in manual assertion	ECO:0001146	A type of allograft transplantation phenotypic evidence that is used in a manual assertion.	allograft transplantation evidence used in manual assertion|allografting|Allotransplantation|tissue grafting
anion-exchange chromatography evidence used in manual assertion	ECO:0001147	A type of anion-exchange chromatography evidence that is used in a manual assertion.	
annexin-V staining evidence used in manual assertion	ECO:0001148	A type of annexin-V staining evidence that is used in a manual assertion.	
cognitive assay phenotypic evidence used in manual assertion	ECO:0001149	A type of cognitive assay phenotypic evidence used that is used in a manual assertion.	behavioral assay evidence used in manual assertion
blocking monoclonal antibody evidence used in manual assertion	ECO:0001150	A type of blocking monoclonal antibody evidence that is used in a manual assertion.	
blocking peptide evidence used in manual assertion	ECO:0001151	A type of blocking peptide evidence that is used in a manual assertion.	
blocking polyclonal antibody evidence used in manual assertion	ECO:0001152	A type of blocking polyclonal antibody evidence tthat is used in a manual assertion.	
blood test evidence used in manual assertion	ECO:0001153	A type of blood test evidence that is used in a manual assertion.	
Boyden chamber assay evidence used in manual assertion	ECO:0001154	A type of Boyden chamber assay evidence that is used in a manual assertion.	
bromodeoxyuridine incorporation assay evidence used in manual assertion	ECO:0001155	A type of bromodeoxyuridine incorporation assay evidence used in manual assertion.	5-bromo-2'-deoxyuridine incorporation assay evidence|BrdU incorporation assay evidence|BrdUrd incorporation assay evidence|BUdR incorporation assay evidence
caspase assay evidence used in manual assertion	ECO:0001156	A type of caspase assay evidence that is used in a manual assertion.	
cell counting evidence used in manual assertion	ECO:0001157	A type of cell counting evidence that is used in a manual assertion.	
cell permeability assay evidence used in manual assertion	ECO:0001158	A type of cell permeability assay evidence that is used in a manual assertion.	
carboxyfluorescein diacetate succinimidyl ester staining evidence used in manual assertion	ECO:0001159	A type of carboxyfluorescein diacetate succinimidyl ester staining evidence that is used in a manual assertion.	CFDA-SE staining evidence|CFSE-staining evidence
chemiluminescence-linked immunoassay evidence used in manual assertion	ECO:0001160	A type of chemiluminescence-linked immunoassay evidence that is used in a manual assertion.	CLIA evidence
chimeric protein phenotypic evidence used in manual assertion	ECO:0001161	A type of chimeric protein phenotypic evidence that is used in a manual assertion.	chimeric protein evidence used in manual assertion
co-electrophoresis evidence used in manual assertion	ECO:0001162	A type of co-electrophoresis evidence that is used in a manual assertion.	
co-localization evidence used in manual assertion	ECO:0001163	A type of co-localization evidence that is used in a manual assertion.	
co-sedimentation assay evidence used in manual assertion	ECO:0001164	A type of co-sedimentation assay evidence that is used in a manual assertion.	
colony counting evidence used in manual assertion	ECO:0001165	A type of colony counting evidence that is used in a manual assertion.	
comet assay evidence used in manual assertion	ECO:0001166	A type of comet assay evidence that is used in a manual assertion.	
conditional knockin evidence used in manual assertion	ECO:0001167	A type of conditional knockin evidence that is used in a manual assertion.	
conditional knockout evidence used in manual assertion	ECO:0001168	A type of conditional knockout evidence that is used in a manual assertion.	
constitutively active mutant evidence used in manual assertion	ECO:0001169	A type of constitutively active mutant evidence that is used a in manual assertion.	
cross-linking evidence used in manual assertion	ECO:0001170	A type of cross-linking evidence that is used in a manual assertion.	
crystallography evidence used in manual assertion	ECO:0001171	A type of crystallography evidence that is used in a manual assertion.	
cytochemistry evidence used in manual assertion	ECO:0001172	A type of cytochemistry evidence that is used in a manual assertion.	
cytochrome C release assay evidence used in manual assertion	ECO:0001173	A type of cytochrome C release assay evidence that is used in a manual assertion.	
	ECO:0001174	A type of 4',6-diamidino-2-phenylindole staining evidence that is used in a manual assertion.	DAPI staining evidence
deletion mutation phenotypic evidence used in manual assertion	ECO:0001175	A type of deletion mutation phenotypic evidence that is used in a manual assertion.	deletion mutation evidence used in manual assertion
DNA laddering assay evidence used in manual assertion	ECO:0001176	A type of DNA laddering assay evidence that is used in a manual assertion.	
RNA dot blot assay evidence used in manual assertion	ECO:0001177	A type of RNA dot blot assay evidence that is used in a manual assertion.	RNA dot blot evidence
dominant-negative mutant phenotypic evidence used in manual assertion	ECO:0001179	A type of dominant-negative mutant phenotypic evidence that is used in a manual assertion.	dominant-negative mutant evidence used in manual assertion
eTag assay evidence used in manual assertion	ECO:0001180	A type of eTag assay evidence that is used in a manual assertion.	
filter binding assay evidence used in manual assertion	ECO:0001181	A type of filter binding assay evidence that is used in a manual assertion.	
fluorescence in situ hybridization evidence used in manual assertion	ECO:0001182	A type of fluorescence in situ hybridization evidence that is used in a manual assertion.	
fluorescence resonance energy transfer evidence used in manual assertion	ECO:0001183	A type of fluorescence resonance energy transfer evidence that is used in a manual assertion.	FRET evidence
gel-filtration evidence used in manual assertion	ECO:0001184	A type of gel-filtration evidence that is used in a manual assertion.	
histochemistry evidence used in manual assertion	ECO:0001185	A type of histochemistry evidence that is used in a manual assertion.	
immunocytochemistry evidence used in manual assertion	ECO:0001186	A type of immunocytochemistry evidence that is used in a manual assertion.	
histology evidence used in manual assertion	ECO:0001187	A type of histology evidence that is used in a manual assertion.	
immunodepletion evidence used in manual assertion	ECO:0001188	A type of immunodepletion evidence that is used in a manual assertion.	
immunohistochemistry evidence used in manual assertion	ECO:0001189	A type of immunohistochemistry evidence that is used in a manual assertion.	
in vitro acetylation assay evidence used in manual assertion	ECO:0001190	A type of in vitro acetylation assay evidence that is used in a manual assertion.	
in vitro cleavage assay evidence used in manual assertion	ECO:0001191	A type of in vitro cleavage assay evidence that is used in a manual assertion.	
in vitro deacetylation assay evidence used in manual assertion	ECO:0001192	A type of in vitro deacetylation assay evidence that is used in a manual assertion.	
in vitro defarnesylation assay evidence used in manual assertion	ECO:0001193	A type of in vitro defarnesylation assay evidence that is used in a manual assertion.	
in vitro demethylation assay evidence used in manual assertion	ECO:0001194	A type of in vitro demethylation assay evidence that is used in a manual assertion.	
in vitro desumoylation assay evidence used in manual assertion	ECO:0001195	A type of in vitro desumoylation assay evidence that is used in a manual assertion.	
in vitro deubiquitination assay evidence used in manual assertion	ECO:0001196	A type of in vitro deubiquitination assay evidence that is used in a manual assertion.	
in vitro farnesylation assay evidence used in manual assertion	ECO:0001197	A type of in vitro farnesylation assay evidence that is used in a manual assertion.	
in vitro methylation assay evidence used in manual assertion	ECO:0001198	A type of in vitro methylation assay evidence that is used in a manual assertion.	
in vitro palmitoylation assay evidence used in manual assertion	ECO:0001199	A type of in vitro palmitoylation assay evidence that is used in a manual assertion.	
in vitro phosphatase assay evidence used in manual assertion	ECO:0001200	A type of in vitro phosphatase assay evidence that is used in a manual assertion.	
in vitro polyADP-ribosylation assay evidence used in manual assertion	ECO:0001201	A type of in vitro polyADP-ribosylation assay evidence that is used in a manual assertion.	
in vitro protein kinase assay evidence used in manual assertion	ECO:0001202	A type of in vitro protein kinase assay evidence that is used in a manual assertion.	
in vitro sumoylation assay evidence used in manual assertion	ECO:0001203	A type of in vitro sumoylation assay evidence that is used in a manual assertion.	
in vitro transcription assay evidence used in manual assertion	ECO:0001204	A type of in vitro transcription assay evidence that is used in a manual assertion.	
in vitro translation assay evidence used in manual assertion	ECO:0001205	A type of in vitro translation assay evidence that is used in a manual assertion.	
in vitro ubiquitination assay evidence used in manual assertion	ECO:0001206	A type of in vitro ubiquitination assay evidence that is used in a manual assertion.	
in vivo acetylation assay evidence used in manual assertion	ECO:0001207	A type of in vivo acetylation assay evidence that is used in manual assertion.	
in vivo cleavage assay evidence used in manual assertion	ECO:0001208	A type of in vivo cleavage assay evidence that is used in a manual assertion.	
in vivo deacetylation assay evidence used in manual assertion	ECO:0001209	A type of in vivo deacetylation assay evidence that is used in a manual assertion.	
in vivo defarnesylation assay evidence used in manual assertion	ECO:0001210	A type of in vivo defarnesylation assay evidence that is used in a manual assertion.	
in vivo demethylation assay evidence used in manual assertion	ECO:0001211	A type of in vivo demethylation assay evidence that is used in a manual assertion.	
in vivo desumoylation assay evidence used in manual assertion	ECO:0001212	A type of in vivo desumoylation assay evidence that is used in a manual assertion.	
in vivo deubiquitination assay evidence used in manual assertion	ECO:0001213	A type of in vivo deubiquitination assay evidence that is used in a manual assertion.	
in vivo farnesylation assay evidence used in manual assertion	ECO:0001214	A type of in vivo farnesylation assay evidence that is used in a manual assertion.	
in vivo methylation assay evidence used in manual assertion	ECO:0001215	A type of in vivo methylation assay evidence that is used in a manual assertion.	
in vivo palmitoylation assay evidence used in manual assertion	ECO:0001216	A type of in vivo palmitoylation assay evidence that is used in a manual assertion.	
in vivo phosphatase assay evidence used in manual assertion	ECO:0001217	A type of in vivo phosphatase assay evidence that is used in a manual assertion.	
in vivo protein kinase assay evidence used in manual assertion	ECO:0001218	A type of in vivo protein kinase assay evidence that is used in a manual assertion.	
in vivo sumoylation assay evidence used in manual assertion	ECO:0001219	A type of in vivo sumoylation assay evidence that is used in a manual assertion.	
in vivo transcription assay evidence used in manual assertion	ECO:0001220	A type of in vivo transcription assay evidence that is used in a manual assertion.	
in vivo translation assay evidence used in manual assertion	ECO:0001221	A type of in vivo translation assay evidence that is used in a manual assertion.	
in vivo ubiquitination assay evidence used in manual assertion	ECO:0001222	A type of in vivo ubiquitination assay evidence that is used in a manual assertion.	
induced mutation evidence used in manual assertion	ECO:0001223	A type of induced mutation evidence that is used in a manual assertion.	
knockin evidence used in manual assertion	ECO:0001224	A type of knockin evidence that is used in a manual assertion.	
knockout evidence used in manual assertion	ECO:0001225	A type of knockout evidence that is used in a manual assertion.	
lipid binding assay evidence used in manual assertion	ECO:0001226	A type of lipid binding assay evidence that is used in a manual assertion.	
luminescence-based mammalian interactome mapping assay evidence used in manual assertion	ECO:0001227	A type of LUMIER assay evidence that is used in a manual assertion.	LUMIER assay evidence
macroscopy evidence used in manual assertion	ECO:0001228	A type of macroscopy evidence that is used in a manual assertion.	
mammalian 2-hybrid assay evidence used in manual assertion	ECO:0001229	A type of mammalian 2-hybrid assay evidence that is used in a manual assertion.	
mass spectrometry evidence used in manual assertion	ECO:0001230	A type of mass spectrometry evidence that is used in a manual assertion.	
medical imaging evidence used in manual assertion	ECO:0001231	A type of medical imaging evidence that is used in a manual assertion.	
microscopy evidence used in manual assertion	ECO:0001232	A type of microscopy evidence that is used in a manual assertion.	
motility wound healing assay evidence used in manual assertion	ECO:0001233	A type of motility wound healing assay evidence that is used in a manual assertion.	wound healing assay evidence used in manual assertion
MTS assay evidence used in manual assertion	ECO:0001234	A type of MTS assay evidence that is used in a manual assertion.	3-(4,5-dimethylthiazol-2-yl)-5-(3-carboxymethoxyphenyl)-2-(4-sulfophenyl)-2H-tetrazolium
MTT assay evidence used in manual assertion	ECO:0001235	A type of MTT assay evidence that is used in a manual assertion.	3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide
multiplex bead-based immunoassay evidence used in manual assertion	ECO:0001236	A type of multiplex bead-based immunoassay evidence that is  used in a manual assertion.	
natural variation mutant evidence used in manual assertion	ECO:0001237	A type of natural variation mutant evidence that is used in a manual assertion.	
nuclear magnetic resonance spectroscopy evidence used in manual assertion	ECO:0001238	A type of nuclear magnetic resonance spectroscopy evidence that is used in a manual assertion.	NMR spectroscopy evidence
nuclear fragmentation evidence used in manual assertion	ECO:0001239	A type of nuclear fragmentation evidence that is used in a manual assertion.	
nuclease protection assay evidence used in manual assertion	ECO:0001240	A type of nuclease protection assay evidence that is used in a manual assertion.	
nucleotide analog incorporation assay evidence used in manual assertion	ECO:0001241	A type of nucleotide analog incorporation assay evidence that is used in a manual assertion.	
phage display evidence used in manual assertion	ECO:0001242	A type of phage display evidence that is used in a manual assertion.	
phosphoamino acid analysis evidence used in manual assertion	ECO:0001243	A type of phosphoamino acid analysis evidence that is used in a manual assertion.	
peptide affinity enrichment evidence used in manual assertion	ECO:0001244	A type of peptide affinity enrichment evidence that is used in a manual assertion.	phosphopeptide affinity enrichment evidence
peptide array evidence used in manual assertion	ECO:0001245	A type of peptide array evidence that is used in a manual assertion.	phosphopeptide array evidence
physical examination evidence used in manual assertion	ECO:0001246	A type of physical examination evidence that is used in a manual assertion.	
point mutation phenotypic evidence used in manual assertion	ECO:0001247	A type of point mutation phenotypic evidence that is used in a manual assertion.	point mutation evidence used in manual assertion
propidium iodide staining evidence used in manual assertion	ECO:0001248	A type of propidium iodide staining evidence that is used in a manual assertion.	
fluorescence evidence used in manual assertion	ECO:0001249	A type of protein detection by fluorescence evidence that is used in a manual assertion.	
protein dot blot assay evidence used in manual assertion	ECO:0001250	A type of protein dot blot assay evidence that is used in a manual assertion.	
protein microarray evidence used in manual assertion	ECO:0001251	A type of protein microarray evidence that is used in a manual assertion.	
protein sequencing assay evidence used in manual assertion	ECO:0001252	A type of protein sequencing assay evidence that is used in a manual assertion.	
quantitative mass spectrometry evidence used in manual assertion	ECO:0001253	A type of quantitative mass spectrometry evidence that is used in a manual assertion.	
radioisotope assay evidence used in manual assertion	ECO:0001254	A type of radioisotope assay evidence that is used in a manual assertion.	radioassay evidence|radioisotopic assay evidence
radioimmunoassay evidence used in manual assertion	ECO:0001255	A type of radioimmunoassay evidence that is used in a manual assertion.	
imaging assay evidence used in manual assertion	ECO:0001256	A type of imaging assay evidence that is used in a manual assertion.	radiologic test evidence
